종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"096350","대창솔루션","KOSDAQ","금속","293","-1","-0.34","47981975637"
"140520","대창스틸","KOSDAQ","금속","2575","-30","-1.15","54356300725"
"131220","대한과학","KOSDAQ","유통","6610","-110","-1.64","49274178900"
"010170","대한광통신","KOSDAQ","일반전기전자","2480","30","1.22","182879230000"
"060900","대한그린파워","KOSDAQ","전기·가스·수도","667","2","0.30","119737369432"
"054670","대한뉴팜","KOSDAQ","제약","8360","-60","-0.71","120007131200"
"023910","대한약품","KOSDAQ","제약","25850","150","0.58","155100000000"
"021040","대호특수강","KOSDAQ","금속","538","-15","-2.71","40564414520"
"021045","대호특수강우","KOSDAQ","금속","1005","-40","-3.83","4263678330"
"067080","대화제약","KOSDAQ","제약","9900","-1000","-9.17","184304835000"
"298540","더네이쳐홀딩스","KOSDAQ","섬유·의류","23950","500","2.13","348344511200"
"393890","더블유씨피","KOSDAQ","일반전기전자","42250","1950","4.84","1423677885500"
"299170","더블유에스아이","KOSDAQ","유통","1625","-40","-2.40","48795439875"
"213420","덕산네오룩스","KOSDAQ","반도체","35100","400","1.15","871574382900"
"317330","덕산테코피아","KOSDAQ","반도체","15750","-250","-1.56","289444491000"
"077360","덕산하이메탈","KOSDAQ","일반전기전자","5630","10","0.18","255810321260"
"090410","덕신하우징","KOSDAQ","금속","1560","-30","-1.89","71891188200"
"263600","덕우전자","KOSDAQ","일반전기전자","6240","-70","-1.11","99405134400"
"194480","데브시스터즈","KOSDAQ","디지털컨텐츠","41900","-750","-1.76","495662754000"
"263800","데이타솔루션","KOSDAQ","정보기기","4195","-5","-0.12","67974018100"
"206560","덱스터","KOSDAQ","오락·문화","9450","-40","-0.42","240127675200"
"261200","덴티스","KOSDAQ","의료·정밀기기","7120","110","1.57","105076176800"
"067990","도이치모터스","KOSDAQ","유통","6050","80","1.34","192935389350"
"006620","동구바이오제약","KOSDAQ","제약","5690","0","0.00","161965804480"
"100130","동국S&C","KOSDAQ","금속","5190","10","0.19","296572170000"
"005160","동국산업","KOSDAQ","금속","4470","55","1.25","242472834540"
"075970","동국알앤에스","KOSDAQ","비금속","4660","185","4.13","85744000000"
"086450","동국제약","KOSDAQ","제약","15850","550","3.59","704691000000"
"099410","동방선기","KOSDAQ","운송장비·부품","2620","-20","-0.76","35477425240"
"033500","동성화인텍","KOSDAQ","화학","10750","0","0.00","319963559000"
"025950","동신건설","KOSDAQ","건설","12650","-350","-2.69","106260000000"
"088130","동아엘텍","KOSDAQ","기계·장비","6460","210","3.36","68882579480"
"041930","동아화성","KOSDAQ","화학","7510","-20","-0.27","118658000000"
"060380","동양에스텍","KOSDAQ","금속","2085","-30","-1.42","41074500000"
"079960","동양이엔피","KOSDAQ","IT부품","11900","-100","-0.83","93534000000"
"228340","동양파일","KOSDAQ","비금속","3845","570","17.40","76900000000"
"088910","동우팜투테이블","KOSDAQ","음식료·담배","2660","20","0.76","68712492240"
"094170","동운아나텍","KOSDAQ","반도체","8900","-680","-7.10","161190427600"
"013120","동원개발","KOSDAQ","건설","3510","100","2.93","318736431000"
"109860","동일금속","KOSDAQ","금속","22800","800","3.64","207480000000"
"032960","동일기연","KOSDAQ","IT부품","10450","50","0.48","37987317500"
"023790","동일철강","KOSDAQ","금속","2180","-30","-1.36","34846092280"
"005290","동진쎄미켐","KOSDAQ","반도체","28050","800","2.94","1442176556700"
"025900","동화기업","KOSDAQ","종이·목재","63600","300","0.47","1284945970800"
"131970","두산테스나","KOSDAQ","반도체","23050","250","1.10","340208249850"
"073190","듀오백","KOSDAQ","기타제조","2000","-60","-2.91","23936080000"
"030350","드래곤플라이","KOSDAQ","디지털컨텐츠","1060","-30","-2.75","43816533120"
"203650","드림시큐리티","KOSDAQ","출판·매체복제","2510","-90","-3.46","127020442540"
"223250","드림씨아이에스","KOSDAQ","기타서비스","10200","-500","-4.67","60442344000"
"060570","드림어스컴퍼니","KOSDAQ","디지털컨텐츠","2740","60","2.24","155795980780"
"217620","디딤","KOSDAQ","숙박·음식","1270","-30","-2.31","58442810470"
"016670","디모아","KOSDAQ","유통","542","47","9.49","55207049008"
"187870","디바이스이엔지","KOSDAQ","반도체","14100","-50","-0.35","99216186900"
"066670","디스플레이텍","KOSDAQ","IT부품","4800","200","4.35","89721206400"
"110990","디아이티","KOSDAQ","IT부품","5970","-30","-0.50","112833000000"
"078590","디아크","KOSDAQ","운송장비·부품","2380","0","0.00","316556560040"
"263690","디알젬","KOSDAQ","의료·정밀기기","9060","0","0.00","102610026600"
"214680","디알텍","KOSDAQ","의료·정밀기기","1405","20","1.44","81518036775"
"263720","디앤씨미디어","KOSDAQ","디지털컨텐츠","12400","-50","-0.40","152211376400"
"376300","디어유","KOSDAQ","소프트웨어","24350","200","0.83","563220516100"
"141020","디에스앤엘","KOSDAQ","유통","1335","0","0.00","43790846220"
"109740","디에스케이","KOSDAQ","기계·장비","6450","190","3.04","174310669500"
"196490","디에이테크놀로지","KOSDAQ","기계·장비","3750","70","1.90","92573703750"
"066900","디에이피","KOSDAQ","IT부품","2525","-175","-6.48","57429870075"
"180400","디엑스앤브이엑스","KOSDAQ","기타서비스","7740","0","0.00","222082929900"
"127120","디엔에이링크","KOSDAQ","기타서비스","3600","0","0.00","61537291200"
"092070","디엔에프","KOSDAQ","화학","12600","0","0.00","145805410800"
"039840","디오","KOSDAQ","의료·정밀기기","18650","-100","-0.53","296194730750"
"219550","디와이디","KOSDAQ","유통","1005","-30","-2.90","36921277950"
"310870","디와이씨","KOSDAQ","운송장비·부품","1360","-65","-4.56","28134688560"
"104460","디와이피엔에프","KOSDAQ","기계·장비","40900","-150","-0.37","438187262500"
"079810","디이엔티","KOSDAQ","기계·장비","10200","460","4.72","157155908400"
"113810","디젠스","KOSDAQ","운송장비·부품","1040","30","2.97","33933173040"
"043360","디지아이","KOSDAQ","정보기기","3255","70","2.20","29295000000"
"197140","디지캡","KOSDAQ","출판·매체복제","3315","30","0.91","31683606435"
"068930","디지털대성","KOSDAQ","기타서비스","6550","250","3.97","195194840450"
"033130","디지틀조선","KOSDAQ","디지털컨텐츠","2035","-35","-1.69","75529568345"
"105740","디케이락","KOSDAQ","기계·장비","11050","100","0.91","93835627600"
"263020","디케이앤디","KOSDAQ","화학","2890","-30","-1.03","44871307560"
"290550","디케이티","KOSDAQ","IT부품","9300","20","0.22","153102793800"
"187220","디티앤씨","KOSDAQ","기타서비스","4425","-95","-2.10","51763742925"
"131180","딜리","KOSDAQ","정보기기","1325","10","0.76","38888750000"
"315640","딥노이드","KOSDAQ","소프트웨어","5580","-10","-0.18","51989607720"
"317120","라닉스","KOSDAQ","일반전기전자","5870","-140","-2.33","56704200000"
"042510","라온시큐어","KOSDAQ","소프트웨어","2230","-45","-1.98","86226843580"
"232680","라온테크","KOSDAQ","반도체","10700","-350","-3.17","133543853800"
"300120","라온피플","KOSDAQ","IT부품","3955","65","1.67","82184947460"
"171120","라이온켐텍","KOSDAQ","화학","8420","170","2.06","159083909920"
"069540","라이트론","KOSDAQ","통신장비","3025","30","1.00","78837416900"
"347700","라이프시맨틱스","KOSDAQ","소프트웨어","4130","-55","-1.31","42241433500"
"214260","라파스","KOSDAQ","화학","18300","600","3.39","157698712800"
"200350","래몽래인","KOSDAQ","오락·문화","20000","1350","7.24","125170380000"
"171010","램테크놀러지","KOSDAQ","반도체","5850","10","0.17","80940933450"
"084650","랩지노믹스","KOSDAQ","기타서비스","7360","-70","-0.94","250178345280"
"217500","러셀","KOSDAQ","기계·장비","2865","-45","-1.55","91141380000"
"141080","레고켐바이오","KOSDAQ","기타서비스","31750","300","0.95","771628441500"
"060300","레드로버","KOSDAQ","오락·문화","1830","0","0.00","53493273510"
"038390","레드캡투어","KOSDAQ","기타서비스","19300","-50","-0.26","165776964000"
"294140","레몬","KOSDAQ","화학","3610","-75","-2.04","133570000000"
"228670","레이","KOSDAQ","의료·정밀기기","17400","1100","6.75","231533691600"
"228850","레이언스","KOSDAQ","의료·정밀기기","9560","-200","-2.05","158610093840"
"412350","레이저쎌","KOSDAQ","반도체","7270","-150","-2.02","61255362440"
