종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"00781K","코리아써키트2우B","KOSPI","전기전자","8580","-70","-0.81","6724137420"
"003690","코리안리","KOSPI","보험","7360","-80","-1.08","885916693760"
"192820","코스맥스","KOSPI","화학","43550","-1850","-4.07","494271116950"
"044820","코스맥스비티아이","KOSPI","기타금융","7350","-170","-2.26","70588819350"
"005070","코스모신소재","KOSPI","화학","54800","400","0.74","1679661428800"
"005420","코스모화학","KOSPI","화학","23350","600","2.64","817442123800"
"071950","코아스","KOSPI","기타제조업","737","-19","-2.51","22778613770"
"002020","코오롱","KOSPI","기타금융","26400","550","2.13","333337646400"
"003070","코오롱글로벌","KOSPI","건설업","13800","0","0.00","347904044400"
"003075","코오롱글로벌우","KOSPI","건설업","27600","600","2.22","8633362800"
"002025","코오롱우","KOSPI","기타금융","19150","1000","5.51","20612868500"
"120110","코오롱인더","KOSPI","화학","43400","300","0.70","1194328549400"
"120115","코오롱인더우","KOSPI","화학","24300","100","0.41","67258998000"
"138490","코오롱플라스틱","KOSPI","화학","9510","60","0.63","361380000000"
"021240","코웨이","KOSPI","서비스업","53800","1000","1.89","3970419502200"
"036420","콘텐트리중앙","KOSPI","서비스업","24100","-700","-2.82","464221622800"
"031820","콤텍시스템","KOSPI","서비스업","604","-13","-2.11","73115085464"
"192400","쿠쿠홀딩스","KOSPI","기타금융","16550","-100","-0.60","588554161750"
"284740","쿠쿠홈시스","KOSPI","서비스업","28650","-400","-1.38","642829504500"
"015590","큐로","KOSPI","기계","318","1","0.32","73525300884"
"264900","크라운제과","KOSPI","음식료품","8130","30","0.37","101818900500"
"26490K","크라운제과우","KOSPI","음식료품","10550","100","0.96","8161058000"
"005740","크라운해태홀딩스","KOSPI","기타금융","6020","-50","-0.82","89381028940"
"005745","크라운해태홀딩스우","KOSPI","기타금융","10200","0","0.00","6127405200"
"259960","크래프톤","KOSPI","서비스업","180500","2500","1.40","8857504122500"
"020120","키다리스튜디오","KOSPI","서비스업","6400","10","0.16","234244742400"
"039490","키움증권","KOSPI","증권","75000","1800","2.46","1966463475000"
"014580","태경비케이","KOSPI","비금속광물","5710","-30","-0.52","157499501000"
"015890","태경산업","KOSPI","화학","6940","-60","-0.86","202847525000"
"006890","태경케미컬","KOSPI","화학","11200","-100","-0.88","129920000000"
"003240","태광산업","KOSPI","화학","717000","-3000","-0.42","798307800000"
"011280","태림포장","KOSPI","종이목재","2455","-45","-1.80","173828582700"
"004100","태양금속","KOSPI","운수장비","1080","-20","-1.82","39636000000"
"004105","태양금속우","KOSPI","운수장비","1945","5","0.26","6418500000"
"009410","태영건설","KOSPI","건설업","4640","125","2.77","180491814720"
"009415","태영건설우","KOSPI","건설업","7700","-190","-2.41","10026493400"
"001420","태원물산","KOSPI","운수장비","4010","-10","-0.25","30476000000"
"007980","태평양물산","KOSPI","섬유의복","1290","-20","-1.53","62112967230"
